82972906699001 is ignored. Account ID = 8315002559 is duplicated cellphone
88412903506001 is ignored. Account ID = 8315002559 is duplicated cellphone
10012906406401 is ignored. Account ID = 8315000646 is duplicated cellphone
10022906406401 is ignored. Account ID = 8315002559 is duplicated cellphone
8412925028701 is ignored. Account ID = 8315005978 is duplicated cellphone
8812926032001 is ignored. Account ID = 8315005978 is duplicated cellphone
105272905798101 is ignored. Account ID = 8315006123 is duplicated cellphone
88412903506001 is ignored. Account ID = 8315002559 is duplicated cellphone
82972906699001 is ignored. Account ID = 8315002559 is duplicated cellphone
10012906406401 is ignored. Account ID = 8315000646 is duplicated cellphone
10022906406401 is ignored. Account ID = 8315002559 is duplicated cellphone
8812926032001 is ignored. Account ID = 8315005978 is duplicated cellphone
8412925028701 is ignored. Account ID = 8315005978 is duplicated cellphone
105272905798101 is ignored. Account ID = 8315006123 is duplicated cellphone
82972906699001 is ignored. Account ID = 8315002559 is duplicated cellphone
88412903506001 is ignored. Account ID = 8315002559 is duplicated cellphone
10012906406401 is ignored. Account ID = 8315000646 is duplicated cellphone
10022906406401 is ignored. Account ID = 8315002559 is duplicated cellphone
8812926032001 is ignored. Account ID = 8315005978 is duplicated cellphone
8412925028701 is ignored. Account ID = 8315005978 is duplicated cellphone
105272905798101 is ignored. Account ID = 8315006123 is duplicated cellphone
82972906699001 is ignored. Account ID = 8315002559 is duplicated cellphone
88412903506001 is ignored. Account ID = 8315002559 is duplicated cellphone
10012906406401 is ignored. Account ID = 8315000646 is duplicated cellphone
10022906406401 is ignored. Account ID = 8315002559 is duplicated cellphone
8812926032001 is ignored. Account ID = 8315005978 is duplicated cellphone
8412925028701 is ignored. Account ID = 8315005978 is duplicated cellphone
105272905798101 is ignored. Account ID = 8315006123 is duplicated cellphone
82972906699001 is ignored. Account ID = 8315002559 is duplicated cellphone
88412903506001 is ignored. Account ID = 8315002559 is duplicated cellphone
10022906406401 is ignored. Account ID = 8315002559 is duplicated cellphone
10012906406401 is ignored. Account ID = 8315000646 is duplicated cellphone
8812926032001 is ignored. Account ID = 8315005978 is duplicated cellphone
8412925028701 is ignored. Account ID = 8315005978 is duplicated cellphone
105272905798101 is ignored. Account ID = 8315006123 is duplicated cellphone


 ----------------------------- 


Start scanning ERP data
Comparing phone number in duplicated list
Saving duplicated phone to crm
03/04/2015 09:18:04: new search bill command start at 02/05/2015, end at 03/04/2015
18502908000301 is transfered successful !
111122905798101 is transfered successful !
13112926032001 is transfered successful !
109972905798101 is transfered successful !
109982905798101 is transfered successful !
110962905798101 is transfered successful !
110062905798101 is transfered successful !
76872905619501 is transfered successful !
109282909222601 is transfered successful !
109332909222601 is transfered successful !
12432926032001 is transfered successful !
33902904297201 is transfered successful !
33922904297201 is transfered successful !
6382929836801 is transfered successful !
6322929836801 is transfered successful !
11892925630901 is transfered successful !
23312921222001 is transfered successful !
28342925530801 is transfered successful !
28002925530801 is transfered successful !
6272929836801 is transfered successful !
6912929836801 is transfered successful !
68972905497901 is transfered successful !
69112905497901 is transfered successful !
67772905497901 is transfered successful !
66972905497901 is transfered successful !
67202905497901 is transfered successful !
66642905497901 is transfered successful !
67722905497901 is transfered successful !
23202921222001 is transfered successful !
66702905497901 is transfered successful !
80322923527201 is transfered successful !
79682923527201 is transfered successful !
79442923527201 is transfered successful !
23282921222001 is transfered successful !
107902906699001 is transfered successful !
5682928835201 is transfered successful !
4992928835201 is transfered successful !
15782924331801 is transfered successful !
15802924331801 is transfered successful !
15822924331801 is transfered successful !
16632924331801 is transfered successful !
56082911904801 is transfered successful !
91852903996101 is transfered successful !
91862903996101 is transfered successful !
91882903996101 is transfered successful !
91892903996101 is transfered successful !
92152903996101 is transfered successful !
91952903996101 is transfered successful !
93732903996101 is transfered successful !
91972903996101 is transfered successful !
92022903996101 is transfered successful !
92042903996101 is transfered successful !
15872924331801 is transfered successful !
5962928835201 is transfered successful !
57472905997801 is transfered successful !
105622906699001 is transfered successful !
16512906406401 is transfered successful !
16522906406401 is transfered successful !
16932906406401 is transfered successful !
16542906406401 is transfered successful !
79702923527201 is transfered successful !
78792923527201 is transfered successful !
80352923527201 is transfered successful !
69002905497901 is transfered successful !
68422905497901 is transfered successful !
112442903506001 is transfered successful !
24492926332101 is transfered successful !
5342928835201 is transfered successful !
57452905997801 is transfered successful !
27812925530801 is transfered successful !
6372929836801 is transfered successful !
109432909222601 is transfered successful !
109642909222601 is transfered successful !
112922905798101 is transfered successful !
110182905798101 is transfered successful !
110222905798101 is transfered successful !
110242905798101 is transfered successful !
111082905798101 is transfered successful !
16662924331801 is transfered successful !
16442924331801 is transfered successful !
