BranchId,BranchName,BranchAlias,BranchAddress,BranchAddress2,BranchAddress3,BranchPhone,BranchFax,BranchEmail
26,HANOI-HEAD QUARTER,HAHO,"342, Nghi Tam, Quang An, Tay Ho, Vietnam",,,-37198202,-37191386,
29,HCMC-HEAD QUARTER,HCMHO,"3rd Floor, Copac building, No.12,","Ton Dan Street, Ward 13, District 4",,,,
255,LEVIS AEON,LVSAE,"30 Bo Bao Tan Thanh, P. Son Ky, Q.TanPhu",,,,,
53,LEVIS BIGC DANANG,BCLVS,"01ST FLOOR, 255-257 HUNG VUONG,  DANANG",,,,,
68,LEVIS BIGC DONG NAI,LVSBC,HOCHIMINH CITY,,,,,
58,LEVIS BIGC HN,BHLVS,"1st floor, 222 Tran Duy Hung str",HANOI,,,,
90,LEVIS BIGC HUE,BHLHC,SIEU THI BIGC - KHU QUY HOACH BA TRIEU,"PHU HOI - HUE, Ho ChiMinh City",,,,
134,LEVIS BINH DUONG,LVSBD,,,,,,
43,LEVIS BTH,BTH,"315-317 BA THANG HAI ST, WARD 11, Q10",Ho ChiMinh City,,08 38333904,,
217,LEVIS DANANG LOTTE,LDNLT,,,,,,
39,LEVIS DIAMOND,DIAM,"34, Le Duan, District 1, Ho ChiMinh City",,,08 38247120,,levis.diamond@thanbacgroup.com
59,LEVIS GARDEN MALL,GDNLV,"G floor, The Garden Mall,",,,,,
149,LEVIS INDOCHINA MALL,LVIPH,,,,,,
42,LEVIS LOTTE7,LOTE7,Ho ChiMinh City,,,,,
64,LEVIS MAXI CH,MAXCH,"15-17 CONG HOA ST, TAN BINH DIST,",Ho ChiMinh City,,,,
119,LEVIS NHA TRANG,LVNTH,,,,,,
44,LEVIS NOWZONE,NZONE,"235 NGUYEN VAN CU ST, ","NGUYEN CU TRINH WA, Ho ChiMinh City",,08 39381187,,
212,LEVIS PANDORA,LVSPD,BIGC TRUONG CHINH,,,,,
80,LEVIS PARAGON,PGLVS,3 NGUYEN LUONG BANG DIS 7,HOCHIMINH CITY,,,,
253,LEVIS PARKSON CANTAVIL,LVSCV,"AN PHU, DISTRICT 2, HCMC",,,,,
38,LEVIS PARKSON CT,PKSCT,"60A TRUONG SON ST, WARD 02","TAN BINH DIST, Ho ChiMinh City",,08 62971768,,levis.parksonct@thanbacgroup.com
56,LEVIS PARKSON HN,PKSHN,"3rd floor, 198 Thai Ha str",HANOI,,,,
60,LEVIS PARKSON HP,PKSHP,"2nd floor, Thuy Duong Plaza, ",HAI PHONG,,,,
36,LEVIS PARKSON1,LVSp1,35 45 Le Thanh Ton Dist1,HOCHIMINH CITY,,,,
45,LEVIS PARKSON11,PKS11,184 Le Dia Hanh St.,"F15, Q11, Ho ChiMinh City",,08 39651326,,
66,LEVIS PKS 5,PK5LV,"126 HUNG VUONG ST, WARD 12","DIST.5, Ho ChiMinh City",,,,
92,LEVIS PREMIUM STORE,LSNT2,"47  Nguyen Trai,Ben Thanh ward",Dist 1,,,,
260,Levis Robinson HN,LVSRB,"Mega Mall, Royal City Urban Complex ","72A Nguyen Trai, Thuong Dinh, Thanh Xuan",,,,
235,LEVIS ROYAL CITY HN,LVSRC,Royal City Vincom 2 HN,,,,,
252,LEVIS SUPERBOWL,LVSSB,"Truong Son, Tan Binh , TPHCM",,,,,
243,LEVIS TIMECITY,LVSTC,Minh Khai street - Hai Ba Trung district,,,,,
57,LEVIS VINCOM HANOI,VCLVS,"2nd floor, 191 Ba Trieu str,",HANOI,,,,
35,LEVIS VINCOM HCMC,VNLC,66 68 70 Le Thanh Ton Dist 1,HCMC,,08 39939501,,
67,LEVIS VUNG TAU,LVSVT,"159 163 Thuy van Street,","Thang Tam Ward, Vung Tau City, HCMC",,064 3521314,,
54,LEVIS-HANGBONG,HBLVS,"105 Hang Bong str,Hoan",HANOI,,,,
