ID,"name",city_id,range
127,"Quận 1",3,1
128,"Quận 2",3,2
129,"Quận 3",3,3
130,"Quận 4",3,4
131,"Quận 5",3,5
132,"Quận 6",3,6
133,"Quận 7",3,7
134,"Quận 8",3,8
135,"Quận 9",3,9
136,"Quận 10",3,10
137,"Quận 11",3,11
138,"Quận 12",3,12
139,"Quận Phú Nhuận",3,13
140,"Quận Bình Thạnh",3,14
141,"Quận Tân Bình",3,15
142,"Quận Tân Phú",3,16
143,"Quận Gò Vấp",3,17
144,"Quận Thủ Đức",3,18
145,"Quận Bình Tân",3,19
146,"Huyện Bình Chánh",3,20
147,"Huyện Củ Chi",3,21
149,"Huyện Nhà Bè",3,22
150,"Huyện Cần Giờ",3,23
856,"Huyện Hóc Môn",3,24
113,"Từ Liêm",2,1
114,"Thanh Trì",2,2
115,"Sóc Sơn",2,3
116,"Gia Lâm",2,4
117,"Đông Anh",2,5
118,"Long Biên",2,6
119,"Hoàng Mai",2,7
120,"Cầu Giấy",2,8
121,"Tây Hồ",2,9
122,"Thanh Xuân",2,10
123,"Hai Bà Trưng",2,11
124,"Đống Đa",2,12
125,"Ba Đình",2,13
126,"Hoàn Kiếm",2,14
450,"Mê Linh",2,15
840,"Vân Điền",2,16
857,"Ba Vì",2,17
858,"Chương Mỹ",2,18
859,"Đan Phượng",2,19
860,"Hà Đông",2,20
861,"Hoài Đức",2,21
862,"Mỹ Đức",2,22
863,"Phú Xuyên",2,23
864,"Phúc Thọ",2,24
865,"Quốc Oai",2,25
866,"Sơn Tây",2,26
867,"Thạch Thất",2,27
868,"Thanh Oai",2,28
869,"Thường Tín",2,29
871,"Ứng Hòa",2,30
626,"Lục Yên",10,1
627,"Mù Căng Chải",10,2
628,"Trạm Tấu",10,3
629,"Trấn Yên",10,4
630,"Văn Chấn",10,5
631,"Văn Yên",10,6
632,"Yên Bái",10,7
633,"Yên Bình",10,8
448,"Bình Xuyên",11,1
449,"Lập Thạch",11,2
451,"Tam Dương",11,3
452,"Vĩnh Tường",11,4
453,"Vĩnh Yên",11,5
454,"Yên Lạc",11,6
850,"Phúc Yên",11,7
853,"Tam Đảo",11,8
812,"Bình Minh",12,1
813,"Long Hồ",12,2
814,"Mang Thít",12,3
815,"Tam Bình",12,4
816,"Trà Ôn",12,5
817,"Vĩnh Long",12,6
818,"Vũng Liêm",12,7
620,"Chiêm Hóa",13,1
621,"Hàm Yên",13,2
622,"Na Hang",13,3
623,"Sơn Dương",13,4
624,"Tuyên Quang",13,5
625,"Yên Sơn",13,6
440,"Càng Long",14,1
441,"Cầu Kè",14,2
442,"Cầu Ngang",14,3
443,"Châu Thành",14,4
444,"Duyên Hải",14,5
445,"Tiểu Cần",14,6
446,"Trà Cú",14,7
447,"Trà Vinh",14,8
803,"Cái Bè",15,1
804,"Cai Lậy",15,2
805,"Châu Thành",15,3
806,"Chợ Gạo",15,4
807,"Gò Công",15,5
808,"Gò Công Đông",15,6
809,"Gò Công Tây",15,7
810,"Mỹ Tho",15,8
811,"Tân Phước",15,9
423,"A Lưới",16,1
424,"Huế",16,2
425,"Hương Thủy",16,3
426,"Hương Trà",16,4
427,"Nam Đông",16,5
428,"Phong Điền",16,6
429,"Phú Lộc",16,7
430,"Phú Vang",16,8
431,"Quảng Điền",16,9
776,"Bá Thước",17,1
777,"Bỉm Sơn",17,2
778,"Cẩm Thủy",17,3
779,"Đông Sơn",17,4
780,"Hà Trung",17,5
781,"Hậu Lộc",17,6
782,"Hoằng Hóa",17,7
783,"Lang Chánh",17,8
784,"Mường Lát",17,9
785,"Nga Sơn",17,10
786,"Ngọc Lặc",17,11
787,"Như Thanh",17,12
788,"Như Xuân",17,13
789,"Nông Cống",17,14
790,"Quan Hóa",17,15
791,"Quan Sơn",17,16
792,"Quảng Xương",17,17
793,"Sầm Sơn",17,18
794,"Thạch Thành",17,19
795,"Thanh Hóa",17,20
796,"Thọ Xuân",17,21
797,"Thường Xuân",17,22
798,"Tĩnh Gia",17,23
799,"Thiệu Hóa",17,24
800,"Triệu Sơn",17,25
801,"Vĩnh Lộc",17,26
802,"Yên Định",17,27
611,"Đại Từ",18,1
612,"Định Hóa",18,2
613,"Đồng Hỷ",18,3
614,"Phổ Yên",18,4
615,"Phú Bình",18,5
616,"Phú Lương",18,6
617,"Sông Công",18,7
618,"Thái Nguyên",18,8
619,"Võ Nhai",18,9
432,"Đông Hưng",19,1
433,"Hưng Hà",19,2
434,"Kiến Xương",19,3
435,"Quỳnh Phụ",19,4
436,"Thái Bình",19,5
437,"Thái Thụy",19,6
438,"Tiền Hải",19,7
439,"Vũ Thư",19,8
602,"Bến Cầu",21,1
603,"Châu Thành",21,2
604,"Dương Minh Châu",21,3
605,"Gò Dầu",21,4
606,"Hòa Thành",21,5
607,"Tân Biên",21,6
608,"Tân Châu",21,7
609,"Tây Ninh",21,8
610,"Trảng Bàng",21,9
766,"Bắc Yên",22,1
767,"Mai Sơn",22,2
768,"Mộc Châu",22,3
769,"Muờng La",22,4
770,"Phù Yên",22,5
771,"Quỳnh Nhai",22,6
772,"Sơn La",22,7
773,"Sông Mã",22,8
774,"Thuận Châu",22,9
775,"Yên Châu",22,10
874,"Sốp Cộp",22,11
595,"Kế Sách",23,1
596,"Long Phú",23,2
597,"Mỹ Tú",23,3
598,"Mỹ Xuyên",23,4
599,"Sóc Trăng",23,5
600,"Thanh Trị",23,6
601,"Vĩnh Châu",23,7
414,"Cam Lộ",24,1
415,"Đa Krông",24,2
416,"Đông Hà",24,3
417,"Gio Linh",24,4
418,"Hải Lăng",24,5
419,"Hướng Hóa",24,6
420,"Quảng Trị",24,7
421,"Triệu Phong",24,8
422,"Vĩnh Linh",24,9
753,"Ba Chế",25,1
754,"Bình Liêu",25,2
755,"Cẩm Phả",25,3
756,"Cô Tô",25,4
757,"Đông Triều",25,5
758,"Hạ Long",25,6
759,"Hoành Bồ",25,7
760,"Móng Cái",25,8
761,"Quảng Hà",25,9
762,"Tiên Yên",25,10
763,"Uông Bí",25,11
764,"Vân Đồn",25,12
765,"Yên Hưng",25,13
582,"Ba Tơ",26,1
583,"Bình Sơn",26,2
584,"Đức Phổ",26,3
585,"Lý Sơn",26,4
586,"Minh Long",26,5
587,"Mộ Đức",26,6
588,"Nghĩa Hành",26,7
589,"Quãng Ngãi",26,8
590,"Sơn Hà",26,9
591,"Sơn Tây",26,10
592,"Sơn Tịnh",26,11
593,"Trà Bồng",26,12
594,"Tư Nghĩa",26,13
400,"Đại Lộc",27,1
401,"Điện Bàn",27,2
402,"Duy Xuyên",27,3
403,"Hiên",27,4
404,"Hiệp Đức",27,5
405,"Hội An",27,6
406,"Nam Giang",27,7
407,"Núi Thành",27,8
408,"Phước Sơn",27,9
409,"Quế Sơn",27,10
410,"Tam Kỳ",27,11
411,"Thăng Bình",27,12
412,"Tiên Phước",27,13
413,"Trà My",27,14
747,"Bố Trạch",28,1
748,"Đồng Hới",28,2
749,"Lệ Thủy",28,3
750,"Quảng Ninh",28,4
751,"Quảng Trạch",28,5
752,"Tuyên Hóa",28,6
880,"Minh Hóa",28,7
576,"Đồng Xuân",29,1
577,"Sơn Hòa",29,2
578,"Sông Cầu",29,3
579,"Sông Hinh",29,4
580,"Tuy An",29,5
581,"Tuy Hòa",29,6
877,"Đông Hòa",29,7
878,"Tây Hòa",29,8
879,"Phú Hòa",29,9
388,"Đoan Hùng",30,1
389,"Hạ Hòa",30,2
390,"Lâm Thao",30,3
391,"Phù Ninh",30,4
392,"Phú Thọ",30,5
393,"Sông Thao",30,6
394,"Tam Nông",30,7
395,"Thanh Ba",30,8
396,"Thanh Sơn",30,9
397,"Thanh Thủy",30,10
398,"Việt Trì",30,11
399,"Yên Lập",30,12
875,"Cẩm Khê",30,13
876,"Tân Sơn",30,14
743,"Ninh Hải",31,1
744,"Ninh Phước",31,2
745,"Ninh Sơn",31,3
746,"Phan Rang - Tháp Chàm",31,4
568,"Hoa Lư",32,1
569,"Kim Sơn",32,2
571,"Nho Quan",32,3
572,"Ninh Bình",32,4
573,"Tam Điệp",32,5
574,"Yên Khánh",32,6
575,"Yên Mô",32,7
872,"Gia Viễn",32,8
369,"Anh Sơn",33,1
370,"Con Cuông",33,2
371,"Cửa Lò",33,3
372,"Diễn Châu",33,4
373,"Đô Lương",33,5
374,"Hưng Nguyên",33,6
375,"Kỳ Sơn",33,7
376,"Nam Đàn",33,8
377,"Nghi Lộc",33,9
378,"Nghĩa Đàn",33,10
379,"Quế Phong",33,11
380,"Quỳ Châu",33,12
381,"Quỳ Hợp",33,13
382,"Quỳnh Lưu",33,14
383,"Tân Kỳ",33,15
384,"Thanh Chương",33,16
385,"Tương Dương",33,17
386,"Vinh",33,18
387,"Yên Thành",33,19
883,"Thái Hòa",33,20
358,"Giao Thủy",34,1
360,"Hải Hậu",34,2
361,"Mỹ Lộc",34,3
362,"Nam Định",34,4
363,"Nam Trực",34,5
364,"Nghĩa Hưng",34,6
365,"Trực Ninh",34,7
366,"Vụ Bản",34,8
367,"Xuân Trường",34,9
368,"Ý Yên",34,10
341,"Bến Lức",35,1
344,"Cần Đước",35,2
345,"Cần Giuộc",35,3
346,"Châu Thành",35,4
347,"Đức Hòa",35,5
348,"Đức Huệ",35,6
349,"Mộc Hóa",35,7
350,"Tân An",35,8
351,"Tân Hưng",35,9
352,"Tân Thạnh",35,10
354,"Tân Trụ",35,11
355,"Thạnh Hóa",35,12
356,"Thủ Thừa",35,13
357,"Vĩnh Hưng",35,14
849,"Liên Hưng",35,15
